Name,Website,Offer Data Science Master's program?,,
"Alabama, University of",www.slis.ua.edu,y,,
"Albany, State University of New York",http://www.albany.edu/informationstudies/index.php,n,,
"Alberta, University of",www.slis.ualberta.ca,y,,
"Arizona, University of",http://si.arizona.edu/master-arts-library-and-information-science,y,,
"British Columbia, University of",www.slais.ubc.ca,n,,
"Buffalo, State University of New York",http://gse.buffalo.edu/lis,n,,
"California - Los Angeles, University of",http://is.gseis.ucla.edu/,n,,
Catholic University of America,http://slis.cua.edu,n,,
Clarion University of Pennsylvania,www.clarion.edu/libsci,n,,
Dalhousie University,http://sim.management.dal.ca/,n,,
"Denver, University of",http://morgridge.du.edu/programs/library-and-information-science/,y,,
Dominican University,www.dom.edu/gslis,n,,
Drexel University,drexel.edu/cci,y,,
East Carolina University,http://www.ecu.edu/cs-educ/idp/lsed/,n,,
Emporia State University,http://slim.emporia.edu,n,,
Florida State University,http://slis.fsu.edu/,n,,
"Hawaii, University of",www.hawaii.edu/lis,n,,
"Illinois, University of",ischool.illinois.edu,y,,
Indiana University,http://www.ils.indiana.edu/admissions/ala-programs.html,y,,
"Iowa, University of",https://slis.grad.uiowa.edu/,n,,
Kent State University,www.slis.kent.edu,n,,
"Kentucky, University of",www.uky.edu/CIS/SLIS,n,,
Long Island University,www.liu.edu/palmer,n,,
Louisiana State University,http://slis.lsu.edu,y,,
McGill University,www.mcgill.ca/sis/,n,,
"Maryland, University of",ischool.umd.edu,y,,
"Michigan, University of",www.si.umich.edu,y,,
"Missouri-Columbia, University of",http://sislt.missouri.edu,n,,
"Montreal, University of",www.ebsi.umontreal.ca,n,,
"North Carolina - Chapel Hill, University of",http://sils.unc.edu,y,,
"North Carolina - Greensboro, University of",http://soe.uncg.edu/academics/departments/lis/,y,,
North Carolina Central University,www.nccuslis.org,n,,
"North Texas, University of",http://lis.unt.edu,y,,
"Oklahoma, University of",www.ou.edu/cas/slis,y,,
"Ottawa, University of",http://www.sis.uottawa.ca/,n,,
"Pittsburgh, University of",www.ischool.pitt.edu/,y,,
Pratt Institute,https://www.pratt.edu/academics/information/,n,,
"Puerto Rico, University of",http://egcti.upr.edu,n,,
"Queens College, City University of New York",https://sites.google.com/a/qc.cuny.edu/gslis/,y,,
"Rhode Island, University of",www.uri.edu/artsci/lsc/,n,,
Rutgers University,www.scils.rutgers.edu,y,,
St. Catherine University,http://www2.stkate.edu/mlis/home,n,,
St. John's University,www.stjohns.edu/dlis,y,,
San Jose State University,http://ischool.sjsu.edu,y,,
Simmons College,www.simmons.edu/gslis,n,,
"South Carolina, University of",www.libsci.sc.edu,y,,
"South Florida, University of",www.cas.usf.edu/lis,y,,
"Southern California, University of",http://librarysciencedegree.usc.edu/,y,,
"Southern Mississippi, University of",www.usm.edu/slis,n,,
Syracuse University,http://ischool.syr.edu,y,,
"Tennessee, University of",www.sis.utk.edu,y,,
"Texas - Austin, University of",www.ischool.utexas.edu,y,,
Texas Woman's University,www.twu.edu/library-studies/,n,,
"Toronto, University of",www.ischool.utoronto.ca/,n,,
Valdosta State University,www.valdosta.edu/mlis/,n,,
"Washington, University of",www.ischool.washington.edu,y,,
Wayne State University,www.slis.wayne.edu/,n,,
"Western Ontario, University of",www.fims.uwo.ca/mlis/index.htm,n,,
"Wisconsin - Madison, University of",www.slis.wisc.edu,y,,
"Wisconsin - Milwaukee, University of",www.uwm.edu/Dept/SOIS/,y,,
,,,,
,Total yes,28,,
,Percent yes,47%,,